mailingAddr1,totalActualVal
951 GRANT PL,604600
405 ARAPAHOE AVE,1010000
910 HAWTHORN AV,683000
3228 9TH ST,398200
2995 18TH ST,549100
1058 ROSE HILL DR,895000
1585 DELLWOOD AVE,408200
PO BOX 2114,572500
PO BOX 2114,745000
PO BOX 2114,720000
PO BOX 2114,541800
2185 LINDEN AVE,2246200
SALLY N BATES SHANKMAN,676000
360 18TH ST,658400
763 GRANT PL,606900
2405 KENWOOD DR,598000
650 S LASHLEY LN,884100
3014 JEFFERSON ST,1017100
3014 JEFFERSON ST,1017100
1511 COLUMBINE AVE,1010600
EDISON LIVING TRUST,704500
3237 11TH,444700
3600 CATALPA WAY,444900
3500 KIRKWOOD PL,612400
3190 6TH ST,830400
3485 17TH ST,570400
749 LINCOLN PL,478500
2820 N 7TH ST,550800
2820 N 7TH ST,550800
4950 S YOSEMITE ST  UNIT F2 309,1150000
PO BOX 9019,6093300
2935 19TH ST,706800
954 LINCOLN PL,629100
1310 LEHIGH ST,351800
1310 LEHIGH ST,351800
2750 UNIVERSITY HEIGHTS AVE,564300
PO BOX 4051,819000
1843 WALNUT ST UNIT A,399500
621 AURORA AVE,623500
2566 6TH ST,654300
1545 HIGH ST,1755400
3125 MOORHEAD AVE,263700
2110 MEADOW AVE,1400800
2110 MEADOW AVE,1044100
PO BOX 766,1210300
778 13TH ST,971600
915 15TH ST,634900
760 12TH ST,756100
824 JUNIPER AVE,1725000
1655 FOLSOM ST,801800
1655 FOLSOM ST,797300
2525 ARAPAHOE AVE UNIT E4 PMB 282,1850000
2525 ARAPAHOE AVE UNIT E4 PMB 282,1850000
1655 FOLSOM ST,487900
1643 SPRUCE ST,960200
1435 LARIMER ST STE 303,229800
2260 BASELINE RD STE 200,1599200
1720 NORWOOD AVE,921700
3019 WASHINGTON ST,498500
3055 10TH ST,563900
1646 NORTH ST,464200
1554 NORTH ST,445900
2860 4TH ST,874500
250 28TH ST,419900
335 28TH ST,353400
MOORE & SULLO LIVING TRUST,653900
555 BASELINE RD,1098500
2233 PINE ST,640000
2705 15TH ST,640400
985 7TH ST,1073400
5938 SUGARLOAF RD,330500
2207 NICHOLL ST,361700
2310 WALNUT ST,446800
3321 UNIVERSITY BLVD,1070900
2505 TOPAZ DR,846000
2505 TOPAZ DR,846000
110 S 31ST ST,341900
3605 CLOVERLEAF DR,459100
415 SOUTH HOWES ST 509N,578200
722 GOLFMORE DR,686000
1515 MARIPOSA AVE,759000
909 MAPLETON AVE,715400
1828 DEL ROSA CT,391600
280 ABBEY PL,738400
2535 DARTMOUTH,412700
3780 23RD ST,1797300
425 IRIS AVE,549900
2221 4TH ST,1310000
2995 STANFORD AVE,825900
1440 OAK CIR,476600
910 7TH ST,834900
2140 LINDEN AVE,1085600
1426 PEARL STREET SUITE 110,18233000
2024 HERMOSA DR,549400
320 15TH ST,504900
508 22ND ST,435500
2110 4TH ST,563000
1396 NORTHRIDGE CT,552600
3005 STANFORD AVE,666900
997 6TH ST,1055500
1516 S CLARKSON ST,371500
3816 WONDERLAND HILL AVE,520400
1276 BEAR MOUNTAIN CT,531100
965 YALE RD,596600
965 YALE RD,1315700
2271 NICHOLL ST,447000
2020 BALSAM DR,714600
3018 WASHINGTON ST,495600
2233 15TH ST,918900
845 5TH ST,651400
2595 CANYON BLVD STE 420,3221000
2525 ARAPAHOE AVE UNIT E4 PMB 265,675000
2954 10TH ST,1005600
1714 PINE ST,635000
626 17TH ST,1355400
1530 PINE ST UNIT 4,865200
1530 PINE ST UNIT 4,865200
210 LAVACA ST APT 2805,2323800
3775 MOFFIT CT,698400
2085 NORWOOD AVE,545300
1455 OAK CIR,525400
931 LINCOLN PL,620000
3205 ARNETT ST,334100
3205 ARNETT ST,334100
740 WILLOWBROOK RD,1078900
1550 BLUEBELL AVE,803500
2535 6TH ST,443000
2918 5TH ST,785000
2910 STANFORD AVE.,943000
700 LION POINT,370900
1222 SCRUB OAK DR,331800
3135 11TH ST,1850300
1460 MOSS ROCK PL,517900
13900 60TH AVE N,643500
3587 22ND ST,885000
3587 22ND ST,885000
2305 4TH ST,1116900
RESEARCH PROPERTY SERVICES,553500
2058 ALPINE DR,730000
3856 14TH ST,498600
283 BERTHOUD TRAIL,709800
552 ARAPAHOE AVE,974700
1291 S WINTERHAVEN DR,1345700
2525 5TH ST,548500
3018 14TH ST,596100
3701 SACRAMENTO ST #344,405000
2580 KENWOOD DR,680400
515 ARAPAHOE AVE,2731900
521 ARAPAHOE AVE,1430000
2840 13TH ST,959200
760 NORTHSTAR CT,748500
215 31ST ST,310200
430 GREGORY LN,1451000
3849 ORION CT,639900
3020 3RD ST,536600
2115 DWIGHT LN,886500
3131 7TH ST,444200
1426 PEARL STREET SUITE 110,7275200
915 SPRUCE ST,1128800
780 JUNIPER AVE,877800
1632 4TH ST,722000
3060 15TH ST,790600
2830 7TH ST,644600
415 CHRISTMAS TREE DR,1128400
2325 PANORAMA AVE,1320000
916 JUNIPER AVE,3113800
3304 4TH ST,1070000
3560 KIRKWOOD PL,485800
1775 SUNSET BLVD,1630000
706 PINE ST,1483800
3905 PINON DR,804100
1405 OAK CIR,503600
1815 MAPLETON AVE,1381000
537 PINE ST,591800
537 PINE ST,591800
1630 30TH ST #252,656100
2627 PINE ST,559800
1820 PEARL ST,306600
650 S LASHLEY LN,1091200
1722 QUINCE AVE,615700
801 BASELINE RD,477200
882 UNIVERSITY AVE,640000
4144 15TH ST,538900
PO BOX 791,2199700
340 30TH ST,332400
600 SPRUCE ST,1131300
905 DEARBORN PL,320500
890 WILLOWBROOK RD,900000
2820 6TH ST,698100
2310 GLENWOOD DR,475300
2338 18TH ST,633300
505 KALMIA AVE,1140600
140 31ST ST,336300
2036 MAPLETON,840000
2036 MAPLETON,840000
2996 23RD ST,424400
3370 25TH ST,621600
PO BOX 1733,3515000
REGENT 201,3858600
1134 UNIVERSITY AVE,5692940
935 16TH ST,2627600
PO BOX 52427,303600
3855 CLOVERLEAF DR,563900
345 COLGATE ST,391200
350 30TH ST,388800
429 HIGHLAND AVE,1205000
3620 CATALPA WY,463400
DONNA M BAASE,437400
5028 WOODFALL DR,415900
2970 17TH ST,548400
2048 BALSAM DR,707300
PO BOX R,633300
1625 LOMBARDY DR,598500
OF COLORADO,380600
2611 PINE ST,724400
3033 6TH ST,697900
619 ARAPAHOE,504200
611 ARAPAHOE AVE,382800
617 MAPLETON AVE,651900
420 CHRISTMAS TREE DR,600000
4200 EVANS DR,467900
3004 APPLEBROOK LN,874000
2940 19TH ST,461700
9533 MOUNTAIN RIDGE DR,584400
1980 EDGEWOOD DR,374000
3075 5TH ST,511200
904 8TH ST,798000
390 OVERLOOK DR,842000
3035 ONEAL PKWY APT S35,566500
954 PEARL ST A,1161500
1035 KALMIA AVE,1036300
3838 ORION CT,556400
497 KALMIA AVE,473300
2930 14TH ST,1292500
900 13TH ST,620200
315 16TH ST,1115600
1920 ARAPAHOE AVE,414100
621 17TH ST ST 1777,721200
1050 10TH ST,1462600
1050 10TH ST,1462600
3245 6TH ST,559600
466 MARINE STREET,993400
466 MARINE STREET,993400
2595 CANYON BLVD SUITE 420,1023800
2822 CORDRY CT,350600
1560 HIGH ST,1470000
1138 TIMBER LN,647600
2920 21ST ST,516800
1101 ARAPAHOE,500000
1572 CENTENNIAL CIR,621670
2245 16TH ST,465800
2088 ALPINE DR,1760000
2697 4TH ST,843000
2675 DAKOTA PL,1750000
125 LINCOLN UNIT 301,1414400
1828 GROVE ST,502900
1412 NORTH ST,1238600
3076 11TH ST,608700
PO BOX 120,1305000
635 SPRUCE ST,1026100
3120 FOLSOM ST,586100
2840 5TH ST,566600
2902 5TH ST,688800
933 FOREST AVE,1424000
2460 UNIVERSITY HEIGHTS AVE,467500
1311 W URAL DR,592700
3530 CLOVERLEAF DR,571300
1155 JUNIPER AVE,863700
2435 GLENWOOD DR,458800
1315 A BEAR MOUNTAIN DR,1155900
1104 UNIVERSITY AVE,823200
350 PONCA PLACE APT 361,505300
2841 10TH ST,474800
700 LION POINT,442600
2439 10TH ST,680100
2926 11TH ST,577900
1060 14TH ST,905000
908 10TH ST,651800
240 ABBEY PL,764700
345 30TH ST,306300
345 31ST ST,470500
2104 BLUFF ST,1044800
2834 11TH ST,940000
2365 BALSAM DR,1311900
64 MEADOWLAKE DR,502400
330 17TH ST,546600
330 17TH ST,546600
911 PENNSYLVANIA AVE,530600
1602 BASELINE RD,1690000
1602 BASELINE RD,854000
ATTN:  MANAGER,527700
960 LINCOLN PL,667200
4007 W 99TH PLACE,382300
PO BOX T,996900
PO BOX T,1967600
665 NORTHSTAR CT,840000
3111 14TH ST,506100
3745 CLOVERLEAF DR,511100
2455 TOPAZ DR,470000
1857 23RD ST,1292200
2941 21ST ST,379800
801 BROOKLAWN DR,984600
954 PEARL ST,975200
1140 PORTLAND PL UNIT 02,491700
1620 KALMIA AVE,458900
1606 NORTH ST,444800
2253 EDGEWOOD DR,329400
2909 4TH ST,766800
814 MAXWELL AV,674300
841 EUCLID AVE,440800
1321 BALSAM AVE UNIT 1,202100
2755 UNIVERSITY HEIGHTS AVE,526900
2037 MAPLETON AVE,449800
93 PIXLEY HILL RD,645400
1530 KALMIA AV,531100
PO BOX 19496,734000
STEPANEK LIVING TRUST,1510000
PO BOX 791,962500
982 GRANT PL,904900
1805 29TH ST STE 2054,774000
47 QUALLA CT,768600
1119 PORTLAND PL,751100
720  WILLOW BROOK RD,1840600
1940 KOHLER DR,1632100
1927 BLUFF ST,545300
306 29TH ST,325000
3500 COPPER ST,446400
1741 PINE ST,745200
447 KALMIA AVE,378100
1430 KINGWOOD PL,611800
2030 DARTMOUTH AVE,700000
2030 DARTMOUTH AVE,700000
1590 CASCADE AVE,1233600
3170 17TH ST,516200
2760 5TH ST,1059500
3320 NORTH BROADWAY,481700
1801 EDGEWOOD LN,421000
1801 EDGEWOOD LN,421000
1223 6TH ST,947400
1551 LAZY TRAIL DR,492000
535 PLEASANT ST,808000
2801 ELM AV,283100
6900 DAVID LN,1738800
537 UNIVERSITY AVE,1353400
1519 5TH ST,948700
1519 5TH ST,948700
12 E SPRING ST,1100000
46 HEATHER LN,409100
834 7TH ST,1460000
2030 10TH ST,911000
333 15TH ST,1119600
333 15TH ST,1119600
PO BOX 507,917000
PO BOX 507,917000
428 ARAPAHOE,535300
2846 ELM AVE,324700
9890 E POWERS AVE,550600
453 E WONDERVIEW AVE APT 115,514700
2105 GROVE ST,443500
3165 5TH ST,700400
1021 LINCOLN PL,559500
1305 UNIVERSITY AVE,854500
280 ECHO PL,758600
821 15TH ST,835500
2960 LORRAINE CT,464500
2539 PINE ST,332900
603 NORTH ST,496400
1104 MAXWELL AV,1111000
285 DEVON PL,630000
180 S 31ST ST,241600
2210 BALSAM DR,401400
1985 GLENWOOD DR,631700
1820 DEL ROSA CT,441600
875 UNION AVE,342200
2948 7TH ST,661200
1621 16TH ST,494800
2322 20TH ST,371000
1715 LOMBARDY DR,518700
1665 LINDEN AV,478900
3151 11TH ST,896600
180 SKY TRAIL ROAD,418000
LIVING TRUST EACH 1/2 UND INT,528000
COLLEEN DEWALD,470100
770 12TH ST,981300
845 LINCOLN PL,649300
1602 COLUMBINE AVE,568400
1602 COLUMBINE AVE,568400
2955 BASELINE RD,1170100
5430 RUTLEDGE PIKE,1174000
6500 ARAPAHOE AVE,1125000
311 MAPLETON AVE,1017400
1777 BROADWAY,1481300
6299 SUNSHINE CANYON DR,773700
505 MAXWELL AVE,1000000
3150 WAILEA ALANUI DR,781700
2425 CANYON STE 110,550000
2441 7TH ST,760500
312 MAPLETON AVE,642400
2385 4TH ST,965000
332 MAPLETON AVE,1275000
403 MAPLETON AVE,839900
304 MAPLETON AV,711200
311 MAPLETON AVE,1885900
2575 GLENWOOD DR,536800
1001 8TH ST,1377200
DEPT 1100-COB01,1520500
2605 PINE ST,744400
542 MARINE ST,582900
BOULDER MEDICAL CENTER PC,12825600
2750 BROADWAY ST,802030
PO BOX 9019,4685900
PO BOX 9019,534500
ANDREA K BERRY REVOCABLE TRUST,894900
404 CONCORD AVE,556800
1050 ARAPAHOE AVE,5948800
PO BOX 3367,278900
1555 BROADWAY UNIT 113,9920000
LAZARINA BRIEGLEB TRUST,298400
1555 BROADWAY UNIT 113,3750000
IMPROVEMENT DISTRICT,850500
1405 BRADLEY DR,17500
2299 PEARL ST STE 400,4660800
3630 BROADWAY ST,871400
2955 ISLAND DR,334100
890 WILLOWBROOK RD,1150000
1455 ALPINE AVE,640200
1455 ALPINE AVE,640200
425 THERESA DRIVE,562900
2919 VALMONT STE 201,536200
2225 FLORAL DR,414300
1401 BLUEBELL AVE,696500
2760 6TH ST,546600
1190 HAWTHORN AVE,689600
2845 7TH ST,1120000
PO BOX 3361,499200
1755 GARLAND LN,532600
3120 22ND ST,575000
420 22ND ST,606200
3080 PENNSYLVANIA AVE,397800
1363 NORTHRIDGE COURT,472800
2229 BROADWAY,1166900
550 IRIS AVE,483500
5023 W 120TH AVE #179,560100
445 MAXWELL AVE,643600
2656 4TH ST,738200
3350 HEMLOCK PL,1047400
443 ALPINE AVE,1353300
1920 VISTA DR,473100
2093 BALSAM DR,4800
1619 PINE ST,1269200
1485 SIERRA DR,760300
MILDRED,672000
1027 E 11TH AVE,730100
2144 17TH ST,1288200
814 SPRUCE ST,2245100
806 SPRUCE ST,1093800
662 W GLEN WAY,1602800
1305 PINE ST,1475000
2891 21ST ST,432700
1527 NORTH ST,557500
205 ABBEY PL,1112700
325 31ST ST,335000
2860 6TH ST,490200
2950 18TH ST,461300
2043 MARIPOSA AVE,673200
2043 MARIPOSA AVE,673200
3015 WASHINGTON ST,484100
2915 17TH ST,724000
350 OVERLOOK DR,1242400
3182 7TH ST,918500
3111 WASHINGTON ST,650000
1060 LINCOLN PL,920800
1920 BLUEBELL AVE,535000
4475 N 51ST STREET,418800
3500 4TH ST,1850700
2942 5TH ST,478300
3379 MILL VISTA RD APT 4528,412000
3379 MILL VISTA RD APT 4528,412000
2885 16TH ST,630000
1140 PAUL RD,541000
3090 22ND ST,412100
30 RODMAN LN,527900
2525 ARAPAHOE AVE UNIT E4 PMB 265,899900
1860 CEDAR AVE,390500
1625 4TH ST,576400
1625 4TH ST,576400
3655 CATALPA WY,399800
1739 MARIPOSA AVE,716500
922 SPRUCE ST,848600
922 SPRUCE ST,848600
810 COLLEGE AVE,970000
9150 STILLWATER CIR,974200
PO BOX 2072,3069700
1760 SUNSET BLVD,854900
1069 LINCOLN PL,693500
1845 FOLSOM ST,687130
792 14TH ST,1410800
6688 GUNPARK DR,1414900
505 UNIVERSITY AVE,386000
440 ALPINE AVE,1527700
631 HIGHLAND AVE,1433900
631 HIGHLAND AVE,1433900
1220 IRIS AVE,370000
721 9TH ST,1019500
700 GRANT PL,612500
3060 8TH ST,1432500
375 16TH ST,921900
2327 FIFTH ST,518700
640 SOUTHPOINTE CT STE 210,590000
2525 ARAPAHOE AVE UNIT E4 PMB 265,610000
2525 ARAPAHOE AVE UNIT E4 PMB 265,610000
4538 S MEADOW DR,419600
519 VALLEY VIEW DR,861600
1515 SUNSET BLVD,835000
2480 FOREST AVE,408100
420 PEARL ST A,444600
781 11TH ST,538000
702 SPRUCE ST,892400
2190 LINDEN AV,998300
2950 LORRAINE CT,416200
1033 KALMIA AVE,492000
1420 SIERRA DR,1975000
320 CARRS BROOK DR,657800
320 CARRS BROOK DR,657800
807 19TH ST,661100
1950 SILVERLEAF CIR UNIT 303,687500
