Boolean,Address
 True ,781 GRAHAM CIR Boulder CO
 True ,815 35TH ST Boulder CO
 True ,849 MELVINA HILL RD Boulder CO
 True ,998 SYCAMORE AVE Boulder CO
 True ,1084 BROADWATER POINT RD Boulder CO
 True ,1169 ST JOHN ST Boulder CO
 True ,1287 SCRUB OAK CIR Boulder CO
 True ,1374 GREENING AVE Boulder CO
 True ,1812 IRIS AV Boulder CO
 True ,1912 TYLER RD Boulder CO
 True ,2885 17TH ST Boulder CO
 True ,536 AZTEC DR Boulder CO
 True ,657 KELLY RD W Boulder CO
 True ,7123 OLD POST RD Boulder CO
 True ,1025 15TH ST Boulder CO
 True ,1503 ORCHARD AVE Boulder CO
 True ,2085 JOSLYN PL Boulder CO
 True ,3 MYERS LN Boulder CO
 True ,590 INCA PKWY Boulder CO
 True ,6675 BEAN MOUNTAIN LN Boulder CO
 True ,66 BEAVER WY Boulder CO
 True ,PAUL ZOLLER & SHEILA M ZOLLER Boulder CO
 True ,1035 PEARL ST #205 Boulder CO
 True ,1145 CLAREMONT DR Boulder CO
 True ,11 RONNIE RD Boulder CO
 True ,1659 WOODWARD ST Boulder CO
 True ,2480 FOREST AVE Boulder CO
 True ,2887 PRINCE CIR Boulder CO
 True ,33 S BOULDER CIR 309 Boulder CO
 True ,33 S BOULDER CIR APT 305 Boulder CO
 True ,33 S BOULDER CIR APT 315 Boulder CO
 True ,33 S BOULDER CIR APT A-318 Boulder CO
 True ,33 SOUTH BOULDER CIR UNIT B306 Boulder CO
 True ,33 SOUTH BOULDER CR 314A Boulder CO
 True ,4408 WELLINGTON RD Boulder CO
 True ,4615 CARTER TRL Boulder CO
 True ,4858 TANGLEWOOD CT Boulder CO
 True ,6305 BANNOCKBURN DR Boulder CO
 True ,6997 INDIAN PEAKS TRL Boulder CO
 True ,PO BOX 881818 Boulder CO
 True ,10091 E OHIO AVE Boulder CO
 True ,1015 CHERRYVALE RD Boulder CO
 True ,1110 MONROE DR UNIT B Boulder CO
 True ,1141 POLK AVE Boulder CO
 True ,1305 SUMAC Boulder CO
 True ,2015 MANHATTAN BEACH BLVD Boulder CO
 True ,3395 TALISMAN CT #B Boulder CO
 True ,36A HILLCREST RD Boulder CO
 True ,3700 B1 IRIS AVE Boulder CO
 True ,370 HOMESTEADER LN Boulder CO
 True ,3727 TALISMAN PL UNIT B Boulder CO
 True ,3835 TALISMAN PL UNIT B Boulder CO
 True ,4515 EDMONTON CT Boulder CO
 True ,4737 W MOORHEAD CIR Boulder CO
 True ,4846 OLD POST CR Boulder CO
 True ,506 SPILLER LN Boulder CO
 True ,571 CAMP EDEN RD Boulder CO
 True ,65 PAWNEE DR Boulder CO
 True ,7438 CLUBHOUSE RD Boulder CO
 True ,868 RUDI LN Boulder CO
 True ,SUZANNE I BARNARD Boulder CO
 True ,10129 FALCON ST Boulder CO
 True ,1030 N STAGECOACH LN Boulder CO
 True ,11017 BALSAM ST Boulder CO
 True ,1249 ST JOHN ST Boulder CO
 True ,1300 ORANGE RD Boulder CO
 True ,13057 WEST ILIFF DR Boulder CO
 True ,1342 N SIERRA BONITA AVE  UNIT 101 Boulder CO
 True ,1383 LEYNER DR Boulder CO
 True ,23231 SPIRES ST Boulder CO
 True ,24 AVANT GARDE CIR Boulder CO
 True ,2751 GLENARBOR DR Boulder CO
 True ,2823 ST ANNES DR Boulder CO
 True ,2880 SUNDOWN LN #102 Boulder CO
 True ,2880 SUNDOWN LN #107 Boulder CO
 True ,2892 SHADOW CREEK DR APT 103 Boulder CO
 True ,304 27TH ST Boulder CO
 True ,344 SANDERS CIR Boulder CO
 True ,3945 SAVANNAH CT Boulder CO
 True ,4399 PARK CT Boulder CO
 True ,4529 WELLINGTON RD Boulder CO
 True ,4545 CARTER TR Boulder CO
 True ,462 WEBBER CT Boulder CO
 True ,4732 SANCTUARY TRL Boulder CO
 True ,4935 TWIN LAKES RD UNIT 36 Boulder CO
 True ,4945 SUNDANCE ST Boulder CO
 True ,5107 GALLATIN PL Boulder CO
 True ,6148 S IOLA WAY Boulder CO
 True ,692 MATHEWS CIR Boulder CO
 True ,7235 W 64TH PL Boulder CO
 True ,7348 ISLAND GREEN DR Boulder CO
 True ,7354 WINDSOR DR Boulder CO
 True ,7427 SINGING HILLS DR UNIT D-204 Boulder CO
 True ,7429 SPY GLASS CT Boulder CO
 True ,7430 SINGING HILLS DR J-204 Boulder CO
 True ,7433 SPYGLASS CT Boulder CO
 True ,7437 SINGING HILLS DR Boulder CO
 True ,7440 SINGING HILLS DR Boulder CO
 True ,7441 SINGING HILLS CT Q101 Boulder CO
 True ,7443 SPYGLASS CT Boulder CO
 True ,7445 SPYGLASS CT UNIT M201 Boulder CO
 True ,7447 SPY GLASS CT M102 Boulder CO
 True ,7449 SPY GLASS CT UNIT M202 Boulder CO
 True ,7463 SPY GLASS CT Boulder CO
 True ,7468 SINGING HILLS DR UNIT H Boulder CO
 True ,7469 SPYGLASS CT Boulder CO
 True ,7477 SINGING HILLS DR UNIT F Boulder CO
 True ,7486 SINGING HILLS DR UNIT G Boulder CO
 True ,7493 SINGING HILLS DR Boulder CO
 True ,7685 BERWICK CT Boulder CO
 True ,7848 FOUR MILE CANYON DR Boulder CO
 True ,7869 S VALENTIA ST Boulder CO
 True ,887 CHERRYVALE RD Boulder CO
 True ,912 LINCOLN PL Boulder CO
 True ,928 SHUTTLEWORTH DR Boulder CO
 True ,98 ROCKTOWN LAMBERTVILLE RD Boulder CO
 True ,PO BOX 40783 Boulder CO
 True ,SAT TARA KAUR KHALSA Boulder CO
 False ,1153 VILLAGE CIR Boulder CO
 False ,1176 VILLAGE CIR Boulder CO
 False ,1188 CONWAY ST Boulder CO
 False ,18  S  31ST ST Boulder CO
 False ,2363 KEYSTONE CT Boulder CO
 False ,3615 SILVER PLUME LN Boulder CO
 False ,6682 DREW RANCH LN Boulder CO
 False ,752 15TH ST Boulder CO
 True ,1285 TOEDTLI DR Boulder CO
 True ,1404 SNOWMASS CT Boulder CO
 True ,1938 PEARL STREET Boulder CO
 True ,3701 ARAPAHOE AVE UNIT C-307 Boulder CO
 True ,4060 CARLOCK DR Boulder CO
 True ,4497 GRINNELL AVE Boulder CO
 True ,7346 AUGUSTA DR Boulder CO
 True ,LINDA M PARIS LIVING TRUST Boulder CO
 True ,PO BOX 628 Boulder CO
 True ,1085 ALBION RD Boulder CO
 True ,124 OLD POST OFFICE RD Boulder CO
 True ,165 MANHATTAN DR Boulder CO
 True ,1925 FOURMILE CANYON DR Boulder CO
 True ,215 IROQUOIS DR Boulder CO
 True ,215 OAKLAND WAY Boulder CO
 True ,2187 MEAD DR Boulder CO
 True ,2855 SHADOW CREEK DR UNIT 301 Boulder CO
 True ,3100 EASTWOOD CT Boulder CO
 True ,3971 MONTELAIR LN Boulder CO
 True ,4793 EDISON AVE Boulder CO
 True ,4865 QUALLA DR Boulder CO
 True ,5476 BLACKHAWK RD Boulder CO
 True ,5514 CRESTONE CIR Boulder CO
 True ,5533 NORTH FORK CT Boulder CO
 True ,60 MANHATTAN DR Boulder CO
 True ,6542 BARNACLE ST Boulder CO
 True ,8853 FREDERICKS CT Boulder CO
 True ,PO BOX 3895 Boulder CO
 True ,1110 DREXEL ST Boulder CO
 True ,1315 KANEMOTO LN Boulder CO
 True ,1623 ZAMIA AVE Boulder CO
 True ,2610 HEIDELBERG DR Boulder CO
 True ,3385 19TH ST Boulder CO
 True ,3700 CLOVERLEAF DR Boulder CO
 True ,4215 CORRIENTE PL Boulder CO
 True ,4220 PEACH WAY Boulder CO
 True ,4271 PEACH WAY Boulder CO
 True ,4646 BURGUNDY LN Boulder CO
 True ,4825 QUALLA Boulder CO
 True ,620 CREE CIR Boulder CO
 True ,717 EVERGREEN AVE Boulder CO
 True ,7723 ARLINGTON DR Boulder CO
 True ,7849 BROCKWAY DR Boulder CO
 True ,860 14TH ST Boulder CO
 True ,PO BOX 241 Boulder CO
 True ,PO BOX 364 Boulder CO
 True ,PO BOX 4237 Boulder CO
 True ,1359 HARRISON ST Boulder CO
 True ,1520 LEHIGH ST Boulder CO
 True ,1850 FOLSOM ST APT 705 Boulder CO
 True ,1866 GORDON DR Boulder CO
 True ,2335 JASPER CT Boulder CO
 True ,3215 15TH ST Boulder CO
 True ,3250 NEAL CIR  APT J26 Boulder CO
 True ,3250 ONEAL CIR  APT H26 Boulder CO
 True ,3972 DEHESA CT Boulder CO
 True ,451 OTT ST Boulder CO
 True ,PO BOX 662 Boulder CO
 True ,1378 GERMAN CT Boulder CO
 True ,167 HOLLIS ST Boulder CO
 True ,1708 HOLEMAN DR Boulder CO
 True ,1895 ALPINE AVE  D6 Boulder CO
 True ,2201 PEARL ST #217 Boulder CO
 True ,2218 VIOLET CT Boulder CO
 True ,2291 ARAPAHOE AV Boulder CO
 True ,28 WILD TIGER RD Boulder CO
 True ,2985 17TH ST Boulder CO
 True ,3302 BILLINGTON DR Boulder CO
 True ,3405 SPRING CREEK PL Boulder CO
 True ,3650 BERKLEY AVE Boulder CO
 True ,3910 COLORADO AVE #B Boulder CO
 True ,5001 W COUNTY ROAD 4 Boulder CO
 True ,8232 KINCROSS DR Boulder CO
 True ,979 KELLY RD W Boulder CO
 True ,CAMPUS BOX 444 Boulder CO
 True ,PO BOX 129 Boulder CO
 True ,PO BOX 3436 Boulder CO
 True ,PO BOX 4144 Boulder CO
 True ,1535 GROVE ST Boulder CO
 True ,1550 KINGWOOD PL Boulder CO
 True ,1649 WALKER ST Boulder CO
 True ,215 31ST ST Boulder CO
 True ,3795 BIRCHWOOD DR Boulder CO
 True ,3795 BIRCHWOOD DR UNIT 79 Boulder CO
 True ,417 WHEAT BERRY DR Boulder CO
 True ,4325 CARTER TRL Boulder CO
 True ,4423 PALI WAY Boulder CO
 True ,4465 WELLINGTON RD Boulder CO
 True ,4842 BRANDON CREEK DR Boulder CO
 True ,608 PEARL ST Boulder CO
 True ,806 POPE DR Boulder CO
 True ,1040 9TH ST Boulder CO
 True ,2020 SITKA CT Boulder CO
 True ,3060 MOORHEAD AV Boulder CO
 True ,3335 CHISHOLM TR D-3-3 Boulder CO
 True ,3345 CHISHOLM TR #304C Boulder CO
 True ,9231 MOLLY WOODS DR Boulder CO
 True ,11052 RAMONA ST Boulder CO
 True ,1235 ALBION WAY Boulder CO
 True ,123 NORTHRUP DR Boulder CO
 True ,1290 ALBION RD Boulder CO
 True ,1321 COLLEGE AVE Boulder CO
 True ,1344 PADFIELD PL Boulder CO
 True ,1524 NORTH ST Boulder CO
 True ,210 BROOK RD Boulder CO
 True ,220 CIMMARON WAY Boulder CO
 True ,2625 COLORADO AVE Boulder CO
 True ,2760 6TH ST Boulder CO
 True ,3601 ARAPAHOE AVE 426 Boulder CO
 True ,3795 ARMER AVE Boulder CO
 True ,4129 AMBER ST Boulder CO
 True ,4275 CORRIENTE PL Boulder CO
 True ,4432 WELLINGTON RD Boulder CO
 True ,4535 OSAGE DR Boulder CO
 True ,4590 WHITNEY PL Boulder CO
 True ,5434 LA PLATA CIR Boulder CO
 True ,563 AZTEC DR Boulder CO
 True ,7062 OLDE STAGE RD Boulder CO
 True ,7419 OLD MILL TRL Boulder CO
 True ,85 S 38TH ST Boulder CO
 True ,FKA MORELAND FAMILY LTD PARTNERSHIP Boulder CO
 True ,1633 WOODWARD ST Boulder CO
 True ,16417 SOMERSET DR Boulder CO
 True ,2135 MEADOW SWEET LN Boulder CO
 True ,225 HAWKSTEAD DR Boulder CO
 True ,2695 KOHLER DR Boulder CO
 True ,2907 SHADOW CREEK DR UNIT 104 Boulder CO
 True ,3805 FREDERICKS CT Boulder CO
 True ,403 ARAPAHOE AVE Boulder CO
 True ,4216 PIEDRA PL Boulder CO
 True ,4560 DARLEY AVE Boulder CO
 True ,5350 PINE VALLEY CT Boulder CO
 True ,5437 BLACKHAWK RD Boulder CO
 True ,6229 S IOLA WAY Boulder CO
 True ,645 EMPORIA RD Boulder CO
 True ,916 POPE DR Boulder CO
 True ,ETAL Boulder CO
 True ,PO BOX 2368 Boulder CO
 True ,1085 KALMIA AVE Boulder CO
 True ,1179 CHERRYVALE RD Boulder CO
 True ,1192 RAVENWOOD RD Boulder CO
 True ,1237 MEADOWLARK DR Boulder CO
 True ,12972 W LOUISIANA AVE Boulder CO
 True ,12 ATLANTIC ST Boulder CO
 True ,16694 HUMBOLDT ST Boulder CO
 True ,1905 IRIS AVE Boulder CO
 True ,2112 E BISCAYNE CT Boulder CO
 True ,2741 14TH ST UNIT A Boulder CO
 True ,290 MOHAWK DR Boulder CO
 True ,3060 23RD ST Boulder CO
 True ,3145 20TH ST Boulder CO
 True ,3250 ONEAL CIR 21A Boulder CO
 True ,3250 ONEAL CIR 23F Boulder CO
 True ,3250 ONEAL CIR # 26C Boulder CO
 True ,3250 ONEAL CIR # 26D Boulder CO
 True ,3250 ONEAL CIR APT C21 Boulder CO
 True ,3250 ONEAL CIR UNIT 23B Boulder CO
 True ,3250 ONEAL CIR UNIT A26 Boulder CO
 True ,3642 FOUR MILE CANYON DRIVE Boulder CO
 True ,4831 CORAL RD Boulder CO
 True ,8124 E 34TH AVE Boulder CO
 True ,PO BOX 33412 Boulder CO
 True ,PO BOX 662 Boulder CO
 True ,1000 POLO CLUB RD Boulder CO
 True ,1006 BAYOU ISLAND DR Boulder CO
 True ,1276 BEAR MOUNTAIN CT Boulder CO
 True ,1360 TOEDTLI DR Boulder CO
 True ,1487 BROWN CIR Boulder CO
 True ,1702 E LAMAR ALEXANDER PKWY Boulder CO
 True ,2595 HAWTHORN AVE Boulder CO
 True ,2800 7TH ST Boulder CO
 True ,2810 E COLLEGE AVE #102 Boulder CO
 True ,2830 E COLLEGE AVE 104 Boulder CO
 True ,2870 E COLLEGE AVE # 111 Boulder CO
 True ,36 CANYON VIEW RD Boulder CO
 True ,4774 TANGLEWOOD TRL Boulder CO
 True ,5242 SPOTTED HORSE TRL Boulder CO
 True ,5413 S FUNDY CT Boulder CO
 True ,5620 OUTBACK CT Boulder CO
 True ,616 DEWEY AVE Boulder CO
 True ,708 SYCAMORE ST Boulder CO
 True ,750 S 44TH ST Boulder CO
 True ,775 31ST ST Boulder CO
 True ,P O BOX 1383 Boulder CO
 True ,3742 ARNOLD ST Boulder CO
 True ,522 PINE ST Boulder CO
 True ,1028 RUDI LN Boulder CO
 True ,111 HILLSIDE AVE Boulder CO
 True ,1545 GROVE ST Boulder CO
 True ,1634 7TH ST Boulder CO
 True ,180 LISTER WY Boulder CO
 True ,2510 GLENWOOD DR Boulder CO
 True ,3175 17TH ST Boulder CO
 True ,4420 LARIAT WAY Boulder CO
 True ,489 HARVARD LN Boulder CO
 True ,4988 SUGARLOAF RD Boulder CO
 True ,6835 TWIN LAKES RD Boulder CO
 True ,7073 INDIAN PEAKS TR Boulder CO
 True ,7752 ESSEX PL Boulder CO
 True ,KAREN JUNE LEVINE Boulder CO
 True ,1577 BAIN DR Boulder CO
 True ,2918 10TH ST Boulder CO
 True ,321 S 8TH AVE Boulder CO
 True ,3770 IRIS AVE #A Boulder CO
 True ,4155 47TH ST UNIT A Boulder CO
 True ,4155 47TH ST UNIT D Boulder CO
 True ,7448 SINGING HILLS DR UNIT H Boulder CO
 True ,STATION MASTER HOUSE Boulder CO
 True ,1000 35TH ST Boulder CO
 True ,1177 FOURMILE CANYON DR Boulder CO
 True ,1649 YARMOUTH WAY #1 Boulder CO
 True ,2089 MEADOW SWEET LANE Boulder CO
 True ,215 IROQUOIS DR Boulder CO
 True ,265 30TH ST Boulder CO
 True ,3005 23RD ST Boulder CO
 True ,3109 EASTWOOD CT Boulder CO
 True ,3134 WESTWOOD CT Boulder CO
 True ,3734 TELLURIDE CIR Boulder CO
 True ,3950 COLORADO AVE APT A Boulder CO
 True ,4455 PEMBROKE GARDENS Boulder CO
 True ,4582 TANGLEWOOD TRL Boulder CO
 True ,5056 COVENTRY CT Boulder CO
 True ,6853 FAIRVIEW DR Boulder CO
 True ,8252 KINCROSS DR Boulder CO
 True ,873 MADISON CT Boulder CO
 True ,OF ELEANORE M LIVING TRUST Boulder CO
 True ,2505 HOMESTEAD RD Boulder CO
 True ,4855 EDISON AVE UNIT 314 Boulder CO
 True ,779 BERKSHIRE PL Boulder CO
 True ,PO BOX 226 Boulder CO
 True ,1020 OAKDALE PL Boulder CO
 True ,1905 DARTMOUTH AVE Boulder CO
 True ,2090 HILLSDALE CIR Boulder CO
 True ,2227 MAPLETON AVE Boulder CO
 True ,4345 VINCA CT Boulder CO
 True ,840 PEARL ST D Boulder CO
 True ,8871 TAHOE CT Boulder CO
 True ,970 11TH ST Boulder CO
 False ,2850 7TH ST Boulder CO
 True ,1520 WILDWOOD LN Boulder CO
 True ,1533 OLD TALE RD Boulder CO
