mailingAddr1,bldAssessedVal
2415 JUNIPER AVE,18555
1105 ZUNI ST,12441
CAMPUS B,
1104 MINTER AVE,19184
265 BELLEVUE DR,
3375 25TH ST,21444
3375 25TH ST,21444
1111 FOREST AVE,27096
PO BOX 791,
831 PEARL ST,12577
3030 24TH ST,22678
PO BOX 107,34981
815 PARK LN,33639
PO BOX 65,8485
1730 NORWOOD AVE,40970
2280 KOHLER DR,90378
"954 PEARL ST., STE A",2681920
463 CAMINO MANZANO,
310 NORTON ST,22137
2885 AURORA  21,30773
2885 AURORA  21,30773
9365 W IOWA PL,25671
2080 PEARL ST,40368
PO BOX 17395,21802
1556 SUNSET BLVD,34777
PO BOX 19,17329
PO BOX 2025,30304
497 PEARL ST UNIT 17,33265
497 PEARL ST UNIT 17,33265
1320 MEADOW AVE,25321
603 PEARL ST,31752
P O BOX 1519,27112
3030 6TH ST,57511
1084 GRANT PL,18053
738 14TH ST,29094
3345 15TH ST,25615
3865 CLOVERLEAF DR,32771
1386 GLEN COURT,26172
2994 25TH ST,15625
50 S 31ST ST,16374
1031 PORTLAND PL UNIT 1,27589
AMY C FRENCH,18555
320 16TH ST,9950
3685 BUCKEYE CT,23020
730 LINCOLN PL,36051
PO BOX 9392,234884
2958 6TH ST,49941
2958 6TH ST,49941
2491 LINDEN DR,82882
905 15TH ST,24787
PO BOX 1104,60122
2333 21ST ST,36338
1777 BROADWAY,1340757
532 UNIVERSITY AV,25544
3076 7TH ST,47792
620 18TH ST,19709
2118 GOSS CIR W,10810
2250 SPRUCE ST UNIT B,19900
2890 STANFORD AVE,22543
2890 STANFORD AVE,22543
2650 BRIARWOOD DR,29635
1530 8TH ST,41702
5612 PIONEER RD,16867
1402 KALMIA AVE,20019
680 PENNSYLVANIA AVE,25265
777 WILLOW BROOK RD,27860
3862 WONDERLAND HILL AVE,35908
2215 FLORAL DR,16684
1645 SUNSET BLVD,51342
709 IRIS AVE,19168
1028 8TH ST,24859
610 MAXWELL AVE,21182
2814 3RD ST,22965
3569 IVEY CIR,22153
3569 IVEY CIR,22153
725 HIGHLAND AVE,105223
2835 16TH ST,20179
484 ARAPAHOE AVE,27677
541 SPRUCE ST,19613
581 EAST STREET,60504
5944 S FLORENCE CT,30367
NANCY J BACHUS LIVING TRUST,15363
505 AURORA AVE,70987
650 PENNSYLVANIA AVE,23028
2037 16TH ST,1334
PO BOX 53,17950
3125 FREMONT ST,19789
2525 ARAPAHOE AVE UNIT E4 PMB 265,24915
3534 KIRKWOOD PL,29659
500 PLEASANT ST,40715
500 PLEASANT ST,40715
1720 LOMBARDY DR,20417
1904 COLUMBINE AVE,29961
1631 5TH ST,27804
PO BOX 1867,31840
PO BOX 1867,31840
521 ARAPAHOE,22471
1405 ALPINE AVE,35820
924 WESTWOOD BLVD STE 600,103830
2838 4TH ST,41846
1505 NORWOOD AVE,23641
600 PEARL ST SUITE A,7244
PO BOX 1181,35024
623 CONCORD AVE,30941
3600 CLOVER LEAF DR,23808
ANITA M KOURY,22996
3405 MARTIN DR,30781
400 CHRISTMAS TREE DR,39402
889 FOREST AVE,25217
4701 WILLARD AVE #905,22567
402 PINE ST,56277
402 PINE ST,56277
3021 WASHINGTON ST,23347
MILAVITZ MARC,406
736 MAXWELL AVE,34411
421 MOUNTAIN VIEW RD,35820
1030 6TH ST,34467
460 ARAPAHOE AVE,25090
2970 13TH ST,33305
266 HILLSIDE LN,15235
3150 REPPLIER ST,16485
2119 PINE ST,24374
PO BOX 18261,6368
PO BOX 18261,6368
2329 13TH ST,40596
989 GRANT PL,62510
2918 19TH ST,16374
2918 19TH ST,16374
1600 MARIPOSA AVE,22336
2230 NICHOLL ST W,17512
HIROMI ONISHI WIENER,32835
1700 BLUEBELL AVE,23880
742 16TH ST,31076
2422 W MAIN ST,51342
130 30TH ST,14455
3570 BROADWAY ST,21253
2740 14TH ST,23880
4500 19 ST #362,32636
2140 KOHLER DR,36194
320  S  39TH  ST,14368
1225 MARIPOSA AVE,27064
1225 MARIPOSA AVE,27064
419 16TH ST,29086
1025 6TH ST,69141
1615 KALMIA AVE,21691
725 S 43RD ST,18531
PO BOX 431,15920
3350 25TH ST,20155
2539 SPRUCE,92187
1265 HOLLY PL,17440
3108 11TH ST,32198
2925 JEFFERSON ST,41026
520 VALLEY VIEW DR,36242
1300 E 7TH AVE,3103
3830 ORION CT,31442
555 HAHAIONE ST APT 6G,32230
721 16TH ST,30399
900 WEST PEARL STREET UNIT 203,41281
840 MAXWELL AVE,26188
637 PINE ST,87560
637 PINE ST,87560
PO BOX 21136,25798
3275 15TH ST,21484
835 8TH ST,38503
860 6TH ST,30240
3000 28TH ST,15840
419 CANYON BLVD,31760
505 MARINE ST,47195
512 MARINE ST,68169
777 PEARL ST 210,18427
107 ALESSANDRA CT 208,7562
PO BOX  2046,17313
PO BOX 8469,40795
809 PINE ST,69419
3135 5TH ST,70319
3135 5TH ST,70319
924 WESTWOOD BLVD #600,39418
2910 19TH ST,16620
2291 ARAPAHOE AVE,118291
595 CASCADE AVE,48524
6319 CATTAIL CT,19152
951 GRANT PL,23450
405 ARAPAHOE AVE,40596
910 HAWTHORN AV,24358
3228 9TH ST,17926
2995 18TH ST,23808
1058 ROSE HILL DR,23482
1585 DELLWOOD AVE,16016
PO BOX 2114,27183
PO BOX 2114,21492
PO BOX 2114,27462
PO BOX 2114,23546
2185 LINDEN AVE,106767
SALLY N BATES SHANKMAN,29372
360 18TH ST,28210
763 GRANT PL,22041
2405 KENWOOD DR,26905
650 S LASHLEY LN,29142
3014 JEFFERSON ST,33918
3014 JEFFERSON ST,33918
1511 COLUMBINE AVE,40803
EDISON LIVING TRUST,31721
3237 11TH,17807
3600 CATALPA WAY,21166
3500 KIRKWOOD PL,29086
3190 6TH ST,37364
3485 17TH ST,33305
749 LINCOLN PL,19303
2820 N 7TH ST,20043
2820 N 7TH ST,20043
4950 S YOSEMITE ST  UNIT F2 309,2030
PO BOX 9019,1048379
2935 19TH ST,27048
954 LINCOLN PL,25400
1310 LEHIGH ST,13675
1310 LEHIGH ST,13675
2750 UNIVERSITY HEIGHTS AVE,24461
PO BOX 4051,49272
1843 WALNUT ST UNIT A,31800
621 AURORA AVE,22646
2566 6TH ST,26372
1545 HIGH ST,69761
3125 MOORHEAD AVE,11757
2110 MEADOW AVE,72898
2110 MEADOW AVE,45380
PO BOX 766,56540
778 13TH ST,39211
915 15TH ST,25623
760 12TH ST,30495
824 JUNIPER AVE,57392
1655 FOLSOM ST,70963
1655 FOLSOM ST,68933
2525 ARAPAHOE AVE UNIT E4 PMB 282,87560
2525 ARAPAHOE AVE UNIT E4 PMB 282,87560
1655 FOLSOM ST,19016
1643 SPRUCE ST,41647
1435 LARIMER ST STE 303,18292
2260 BASELINE RD STE 200,150568
1720 NORWOOD AVE,27359
3019 WASHINGTON ST,18109
3055 10TH ST,20529
1646 NORTH ST,16334
1554 NORTH ST,15673
2860 4TH ST,37770
250 28TH ST,16310
335 28TH ST,13723
MOORE & SULLO LIVING TRUST,29444
555 BASELINE RD,41352
2233 PINE ST,35024
2705 15TH ST,27096
985 7TH ST,38956
5938 SUGARLOAF RD,14848
2207 NICHOLL ST,14463
2310 WALNUT ST,17416
3321 UNIVERSITY BLVD,41543
2505 TOPAZ DR,33512
2505 TOPAZ DR,33512
110 S 31ST ST,13285
3605 CLOVERLEAF DR,21580
415 SOUTH HOWES ST 509N,25329
722 GOLFMORE DR,23800
1515 MARIPOSA AVE,30646
909 MAPLETON AVE,26220
1828 DEL ROSA CT,18595
280 ABBEY PL,29802
2535 DARTMOUTH,19478
3780 23RD ST,64341
425 IRIS AVE,17504
2221 4TH ST,68456
2995 STANFORD AVE,37165
1440 OAK CIR,20823
910 7TH ST,30320
2140 LINDEN AVE,23641
1426 PEARL STREET SUITE 110,3917320
2024 HERMOSA DR,22001
320 15TH ST,21643
508 22ND ST,18666
2110 4TH ST,28656
1396 NORTHRIDGE CT,24167
3005 STANFORD AVE,30001
997 6TH ST,38327
1516 S CLARKSON ST,14925
3816 WONDERLAND HILL AVE,27414
1276 BEAR MOUNTAIN CT,21420
965 YALE RD,24087
965 YALE RD,162313
2271 NICHOLL ST,17910
2020 BALSAM DR,31012
3018 WASHINGTON ST,18038
2233 15TH ST,39872
845 5TH ST,26300
2595 CANYON BLVD STE 420,106107
2525 ARAPAHOE AVE UNIT E4 PMB 265,19900
2954 10TH ST,45261
1714 PINE ST,26666
626 17TH ST,54717
1530 PINE ST UNIT 4,39577
1530 PINE ST UNIT 4,39577
210 LAVACA ST APT 2805,82768
3775 MOFFIT CT,36807
2085 NORWOOD AVE,21516
1455 OAK CIR,22957
931 LINCOLN PL,29452
3205 ARNETT ST,19510
3205 ARNETT ST,19510
740 WILLOWBROOK RD,39155
1550 BLUEBELL AVE,34427
2535 6TH ST,15204
2918 5TH ST,32636
2910 STANFORD AVE.,42427
700 LION POINT,17186
1222 SCRUB OAK DR,12879
3135 11TH ST,83285
1460 MOSS ROCK PL,23315
13900 60TH AVE N,25989
3587 22ND ST,45054
3587 22ND ST,45054
2305 4TH ST,56826
RESEARCH PROPERTY SERVICES,44805
2058 ALPINE DR,18308
3856 14TH ST,21779
283 BERTHOUD TRAIL,25774
552 ARAPAHOE AVE,37309
1291 S WINTERHAVEN DR,61587
2525 5TH ST,18825
3018 14TH ST,21659
3701 SACRAMENTO ST #344,14328
2580 KENWOOD DR,30598
515 ARAPAHOE AVE,77841
521 ARAPAHOE AVE,40755
2840 13TH ST,33289
760 NORTHSTAR CT,38885
215 31ST ST,12036
430 GREGORY LN,40835
3849 ORION CT,33265
3020 3RD ST,24167
2115 DWIGHT LN,40556
3131 7TH ST,19996
1426 PEARL STREET SUITE 110,1441648
915 SPRUCE ST,55704
780 JUNIPER AVE,29197
1632 4TH ST,27621
3060 15TH ST,31012
2830 7TH ST,23450
415 CHRISTMAS TREE DR,40946
2325 PANORAMA AVE,61292
916 JUNIPER AVE,105374
3304 4TH ST,34069
3560 KIRKWOOD PL,23068
1775 SUNSET BLVD,66068
706 PINE ST,74330
3905 PINON DR,36783
1405 OAK CIR,22017
1815 MAPLETON AVE,191400
537 PINE ST,28799
537 PINE ST,28799
1630 30TH ST #252,28505
2627 PINE ST,28083
1820 PEARL ST,24405
650 S LASHLEY LN,50005
1722 QUINCE AVE,26801
801 BASELINE RD,21349
882 UNIVERSITY AVE,30168
4144 15TH ST,21564
PO BOX 791,37178
340 30TH ST,12927
600 SPRUCE ST,46431
905 DEARBORN PL,12457
890 WILLOWBROOK RD,33830
2820 6TH ST,25400
2310 GLENWOOD DR,19048
2338 18TH ST,27486
505 KALMIA AVE,37937
140 31ST ST,13078
2036 MAPLETON,35024
2036 MAPLETON,35024
2996 23RD ST,16987
3370 25TH ST,24883
PO BOX 1733,155220
REGENT 201,187745
1134 UNIVERSITY AVE,343883
935 16TH ST,173337
PO BOX 52427,
3855 CLOVERLEAF DR,26817
345 COLGATE ST,18802
350 30TH ST,15108
429 HIGHLAND AVE,46168
3620 CATALPA WY,22001
DONNA M BAASE,20807
5028 WOODFALL DR,15116
2970 17TH ST,21524
2048 BALSAM DR,30670
PO BOX R,34491
1625 LOMBARDY DR,28457
OF COLORADO,
2611 PINE ST,34101
3033 6TH ST,31434
619 ARAPAHOE,23737
611 ARAPAHOE AVE,18053
617 MAPLETON AVE,33185
420 CHRISTMAS TREE DR,19900
4200 EVANS DR,19972
3004 APPLEBROOK LN,35263
2940 19TH ST,19956
9533 MOUNTAIN RIDGE DR,23593
1980 EDGEWOOD DR,16477
3075 5TH ST,23020
904 8TH ST,30964
390 OVERLOOK DR,37890
3035 ONEAL PKWY APT S35,22248
954 PEARL ST A,54168
1035 KALMIA AVE,34491
3838 ORION CT,29325
497 KALMIA AVE,15068
2930 14TH ST,44855
900 13TH ST,25010
315 16TH ST,44624
1920 ARAPAHOE AVE,4089
621 17TH ST ST 1777,12916
1050 10TH ST,59031
1050 10TH ST,59031
3245 6TH ST,25201
466 MARINE STREET,38001
466 MARINE STREET,38001
2595 CANYON BLVD SUITE 420,44401
2822 CORDRY CT,12227
1560 HIGH ST,66864
1138 TIMBER LN,28147
2920 21ST ST,20680
1101 ARAPAHOE,
1572 CENTENNIAL CIR,22527
2245 16TH ST,18165
2088 ALPINE DR,76416
2697 4TH ST,12418
2675 DAKOTA PL,75620
125 LINCOLN UNIT 301,46598
1828 GROVE ST,19613
1412 NORTH ST,43589
3076 11TH ST,23617
PO BOX 120,46168
635 SPRUCE ST,49678
3120 FOLSOM ST,23968
2840 5TH ST,25520
2902 5TH ST,31028
933 FOREST AVE,83500
2460 UNIVERSITY HEIGHTS AVE,20258
1311 W URAL DR,27199
3530 CLOVERLEAF DR,26212
1155 JUNIPER AVE,45507
2435 GLENWOOD DR,18372
1315 A BEAR MOUNTAIN DR,55951
1104 UNIVERSITY AVE,41647
350 PONCA PLACE APT 361,19844
2841 10TH ST,21396
700 LION POINT,17878
2439 10TH ST,21659
2926 11TH ST,26021
1060 14TH ST,46168
908 10TH ST,26491
240 ABBEY PL,30861
345 30TH ST,11884
345 31ST ST,18268
2104 BLUFF ST,45356
2834 11TH ST,19502
2365 BALSAM DR,53244
64 MEADOWLAKE DR,21842
330 17TH ST,23769
330 17TH ST,23769
911 PENNSYLVANIA AVE,23052
1602 BASELINE RD,80794
1602 BASELINE RD,40118
ATTN:  MANAGER,21309
960 LINCOLN PL,26921
4007 W 99TH PLACE,15307
PO BOX T,8961
PO BOX T,26390
665 NORTHSTAR CT,35024
3111 14TH ST,18396
3745 CLOVERLEAF DR,24286
2455 TOPAZ DR,20059
1857 23RD ST,59079
2941 21ST ST,15188
801 BROOKLAWN DR,45022
954 PEARL ST,61596
1140 PORTLAND PL UNIT 02,39139
1620 KALMIA AVE,21802
1606 NORTH ST,15665
2253 EDGEWOOD DR,14519
2909 4TH ST,34530
814 MAXWELL AV,25575
841 EUCLID AVE,26650
1321 BALSAM AVE UNIT 1,16087
2755 UNIVERSITY HEIGHTS AVE,22837
2037 MAPLETON AVE,17655
93 PIXLEY HILL RD,31474
1530 KALMIA AV,25241
PO BOX 19496,29611
STEPANEK LIVING TRUST,82386
PO BOX 791,26680
982 GRANT PL,35096
1805 29TH ST STE 2054,134183
47 QUALLA CT,31012
1119 PORTLAND PL,27311
720  WILLOW BROOK RD,60623
1940 KOHLER DR,73399
1927 BLUFF ST,25655
306 29TH ST,9950
3500 COPPER ST,21205
1741 PINE ST,35040
447 KALMIA AVE,14734
1430 KINGWOOD PL,20362
2030 DARTMOUTH AVE,27462
2030 DARTMOUTH AVE,27462
1590 CASCADE AVE,49798
3170 17TH ST,20314
2760 5TH ST,47720
3320 NORTH BROADWAY,18523
1801 EDGEWOOD LN,16875
1801 EDGEWOOD LN,16875
1223 6TH ST,41185
1551 LAZY TRAIL DR,23402
535 PLEASANT ST,25711
2801 ELM AV,10993
6900 DAVID LN,63107
537 UNIVERSITY AVE,51772
1519 5TH ST,36274
1519 5TH ST,36274
12 E SPRING ST,55720
46 HEATHER LN,19430
834 7TH ST,68456
2030 10TH ST,40676
333 15TH ST,40644
333 15TH ST,40644
PO BOX 507,37014
PO BOX 507,37014
428 ARAPAHOE,23426
2846 ELM AVE,12633
9890 E POWERS AVE,24007
453 E WONDERVIEW AVE APT 115,20075
2105 GROVE ST,17313
3165 5TH ST,31553
1021 LINCOLN PL,22567
1305 UNIVERSITY AVE,135865
280 ECHO PL,30614
821 15TH ST,33711
2960 LORRAINE CT,18587
2539 PINE ST,16708
603 NORTH ST,19932
1104 MAXWELL AV,42108
285 DEVON PL,27860
180 S 31ST ST,9616
2210 BALSAM DR,17862
1985 GLENWOOD DR,25289
1820 DEL ROSA CT,20983
875 UNION AVE,13309
2948 7TH ST,29786
1621 16TH ST,19406
2322 20TH ST,14965
1715 LOMBARDY DR,24652
1665 LINDEN AV,22758
3151 11TH ST,40405
180 SKY TRAIL ROAD,18149
LIVING TRUST EACH 1/2 UND INT,26109
COLLEEN DEWALD,21182
770 12TH ST,39585
845 LINCOLN PL,26212
1602 COLUMBINE AVE,22957
1602 COLUMBINE AVE,22957
2955 BASELINE RD,66352
5430 RUTLEDGE PIKE,36170
6500 ARAPAHOE AVE,
311 MAPLETON AVE,295046
1777 BROADWAY,
6299 SUNSHINE CANYON DR,29349
505 MAXWELL AVE,47760
3150 WAILEA ALANUI DR,40811
2425 CANYON STE 110,15920
2441 7TH ST,26069
312 MAPLETON AVE,33543
2385 4TH ST,46964
332 MAPLETON AVE,61690
403 MAPLETON AVE,43294
304 MAPLETON AV,37110
311 MAPLETON AVE,80011
2575 GLENWOOD DR,86072
1001 8TH ST,50005
DEPT 1100-COB01,161240
2605 PINE ST,37365
542 MARINE ST,25384
BOULDER MEDICAL CENTER PC,2413554
2750 BROADWAY ST,6873
PO BOX 9019,748171
PO BOX 9019,
ANDREA K BERRY REVOCABLE TRUST,40270
404 CONCORD AVE,19088
1050 ARAPAHOE AVE,284133
PO BOX 3367,22200
1555 BROADWAY UNIT 113,490922
LAZARINA BRIEGLEB TRUST,23753
1555 BROADWAY UNIT 113,179100
IMPROVEMENT DISTRICT,
1405 BRADLEY DR,
2299 PEARL ST STE 400,1055803
3630 BROADWAY ST,70180
2955 ISLAND DR,18734
890 WILLOWBROOK RD,35820
1455 ALPINE AVE,22224
1455 ALPINE AVE,22224
425 THERESA DRIVE,2726
2919 VALMONT STE 201,31299
2225 FLORAL DR,16581
1401 BLUEBELL AVE,25273
2760 6TH ST,19868
1190 HAWTHORN AVE,25599
2845 7TH ST,40755
PO BOX 3361,21986
1755 GARLAND LN,20903
3120 22ND ST,27860
420 22ND ST,27876
3080 PENNSYLVANIA AVE,18451
1363 NORTHRIDGE COURT,20680
2229 BROADWAY,30421
550 IRIS AVE,15403
5023 W 120TH AVE #179,26356
445 MAXWELL AVE,24405
2656 4TH ST,31617
3350 HEMLOCK PL,42459
443 ALPINE AVE,60918
1920 VISTA DR,18953
2093 BALSAM DR,
1619 PINE ST,59716
1485 SIERRA DR,35446
MILDRED,25711
1027 E 11TH AVE,32246
2144 17TH ST,60592
814 SPRUCE ST,102294
806 SPRUCE ST,32302
662 W GLEN WAY,71672
1305 PINE ST,77610
2891 21ST ST,17329
1527 NORTH ST,19621
205 ABBEY PL,41527
325 31ST ST,10746
2860 6TH ST,17846
2950 18TH ST,18093
2043 MARIPOSA AVE,28831
2043 MARIPOSA AVE,28831
3015 WASHINGTON ST,17600
2915 17TH ST,28417
350 OVERLOOK DR,55991
3182 7TH ST,41352
3111 WASHINGTON ST,27860
1060 LINCOLN PL,37157
1920 BLUEBELL AVE,10746
4475 N 51ST STREET,18212
3500 4TH ST,61587
2942 5TH ST,21516
3379 MILL VISTA RD APT 4528,32795
3379 MILL VISTA RD APT 4528,32795
2885 16TH ST,25392
1140 PAUL RD,24198
3090 22ND ST,16485
30 RODMAN LN,24827
2525 ARAPAHOE AVE UNIT E4 PMB 265,23872
1860 CEDAR AVE,16995
1625 4TH ST,18340
1625 4TH ST,18340
3655 CATALPA WY,19008
1739 MARIPOSA AVE,28935
922 SPRUCE ST,36903
922 SPRUCE ST,36903
810 COLLEGE AVE,59541
9150 STILLWATER CIR,32095
PO BOX 2072,97725
1760 SUNSET BLVD,33981
1069 LINCOLN PL,27979
1845 FOLSOM ST,45860
792 14TH ST,54271
6688 GUNPARK DR,60647
505 UNIVERSITY AVE,16796
440 ALPINE AVE,65487
631 HIGHLAND AVE,65901
631 HIGHLAND AVE,65901
1220 IRIS AVE,5970
721 9TH ST,41909
700 GRANT PL,23363
3060 8TH ST,64516
375 16TH ST,39474
2327 FIFTH ST,24334
640 SOUTHPOINTE CT STE 210,23084
2525 ARAPAHOE AVE UNIT E4 PMB 265,22686
2525 ARAPAHOE AVE UNIT E4 PMB 265,22686
4538 S MEADOW DR,18117
519 VALLEY VIEW DR,31331
1515 SUNSET BLVD,18706
2480 FOREST AVE,16326
420 PEARL ST A,35390
781 11TH ST,21731
702 SPRUCE ST,43175
2190 LINDEN AV,17185
2950 LORRAINE CT,16652
1033 KALMIA AVE,15681
1420 SIERRA DR,77610
320 CARRS BROOK DR,25854
320 CARRS BROOK DR,25854
807 19TH ST,26674
1950 SILVERLEAF CIR UNIT 303,27741
2022 MARIPOSA AVE,31609
2650 UNIVERSITY HEIGHTS AVE,24119
1340 6TH ST,19908
3070 18TH ST,14901
1050 BEREA DR,19645
1050 BEREA DR,40978
730 EVERGREEN AVE,47529
513 DEWEY AVE,19590
600 11TH ST,109450
522 PINE ST,65670
PO BOX 791,
811 14TH ST,31482
1440 SIERRA DR,31354
2050 KALMIA AVE,25416
2050 KALMIA AVE,25416
1727 SPRUCE ST,76559
